Cell Name;Cell_ID;BSC;Longitude_Sector;Latitude_Sector;CoverageType;Sector;SiteID;Market;Azimuth;HorizBeamwidth;VertBeamwidth;Technology;LAC;mcc;mnc;RF_Solution;expected_cell_range;antenna_id
GAB_0082_C01_219_3;58333;SO1BSC3;10.177992;33.640947;outdoor;3;5833;;350;;;2G;55702;605;1;macro;9214;1
GAB_0088_C02_119_1;58391;SO1BSC3;10.149097;33.812901;outdoor;1;5839;;130;;;2G;55701;605;1;macro;24616;1
GAB_0088_C02_119_2;58392;SO1BSC3;10.149097;33.812901;outdoor;2;5839;;220;;;2G;55701;605;1;macro;31314;1
GAB_0088_C02_119_3;58393;SO1BSC3;10.149097;33.812901;outdoor;3;5839;;320;;;2G;55701;605;1;macro;18069;1
GAB_0089_C03_318_1;58401;SO1BSC3;10.069739;33.806276;outdoor;1;5840;;80;;;2G;55701;605;1;macro;23720;1
GAB_0089_C03_318_2;58402;SO1BSC3;10.069739;33.806276;outdoor;2;5840;;160;;;2G;55701;605;1;macro;26322;1
GAB_0089_C03_318_3;58403;SO1BSC3;10.069739;33.806276;outdoor;3;5840;;240;;;2G;55701;605;1;macro;31036;1
GAB_0089_C03_318_4;59801;SO1BSC3;10.069739;33.806276;outdoor;4;5840;;320;;;2G;55701;605;1;macro;24446;1
GAF_0002_C01_309_1;50031;SO1BSC3;8.77861944;34.42231944;outdoor;1;5003;;30;;;2G;55101;605;1;macro;3738;1
GAF_0002_C01_309_2;50032;SO1BSC3;8.77861944;34.42231944;outdoor;2;5003;;130;;;2G;55101;605;1;macro;33586;1
GAF_0002_C01_309_3;50033;SO1BSC3;8.77861944;34.42231944;outdoor;3;5003;;270;;;2G;55101;605;1;macro;20666;1
GAF_0003_C01_309_1;50041;SO1BSC3;8.79423889;34.42729444;outdoor;1;5004;;30;;;2G;55101;605;1;macro;13118;1
GAF_0003_C01_309_2;50042;SO1BSC3;8.79423889;34.42729444;outdoor;2;5004;;150;;;2G;55101;605;1;macro;32519;1
GAF_0003_C01_309_3;50043;SO1BSC3;8.79423889;34.42729444;outdoor;3;5004;;270;;;2G;55101;605;1;macro;23198;1
GAF_0005_C03_309_1;50061;SO1BSC3;8.7863;34.42844722;outdoor;1;5006;;0;;;2G;55101;605;1;macro;5508;1
GAF_0005_C03_309_2;50062;SO1BSC3;8.7863;34.42844722;outdoor;2;5006;;150;;;2G;55101;605;1;macro;33460;1
GAF_0005_C03_309_3;50063;SO1BSC3;8.7863;34.42844722;outdoor;3;5006;;260;;;2G;55101;605;1;macro;25893;1
GAF_0006_C02_309_1;50071;SO1BSC3;8.77841944;34.42771944;outdoor;1;5007;;0;;;2G;55101;605;1;macro;1357;1
GAF_0006_C02_309_2;50072;SO1BSC3;8.77841944;34.42771944;outdoor;2;5007;;110;;;2G;55101;605;1;macro;431;1
GAF_0006_C02_309_3;50073;SO1BSC3;8.77841944;34.42771944;outdoor;3;5007;;260;;;2G;55101;605;1;macro;20553;1
GAF_0007_C03_309_1;50081;SO1BSC3;8.78175;34.43908333;outdoor;1;5008;;80;;;2G;55101;605;1;macro;12116;1
GAF_0007_C03_309_2;50082;SO1BSC3;8.78175;34.43908333;outdoor;2;5008;;170;;;2G;55101;605;1;macro;33651;1
GAF_0007_C03_309_3;50083;SO1BSC3;8.78175;34.43908333;outdoor;3;5008;;330;;;2G;55101;605;1;macro;12179;1
