CellName;Cell_ID;BSC;BSC_ID;Latitude_Sector;Longitude_Sector;CoverageType;Sector;SiteID;Market;Azimuth;HorizBeamwidth;VertBeamwidth;Technology;LAC;SAC;eNodeBID;Downtilt;Electrical_DownTilt;mcc;mnc;RF_Solution;expected_cell_range;antenna_id
MED_0045_C01_409_u6;60466;SO1RNC2;511;33.86980556;10.85219444;outdoor;3;6046;;300;;;3G;55601;10466;;;;605;1;;578;1
MED_0045_C01_409_u5;60465;SO1RNC2;511;33.86980556;10.85219444;outdoor;2;6046;;210;;;3G;55601;10465;;;;605;1;;1009;1
MED_0045_C01_409_u4;60464;SO1RNC2;511;33.86980556;10.85219444;outdoor;1;6046;;40;;;3G;55601;10464;;;;605;1;;254;1
MED_0040_C03_420_q4;62264;SO1RNC2;511;33.50715;10.4801;outdoor;4;6041;;100;;;3G;55602;12264;;;;605;1;;8350;1
MED_0037_C03_409_u6;60386;SO1RNC2;511;33.51030556;11.08319444;outdoor;3;6038;;290;;;3G;55603;10386;;;;605;1;;836;1
GAB_0090_C02_318_u4;58414;SO1RNC2;511;33.992747;10.001647;outdoor;1;5841;;5;;;3G;55701;8414;;;;605;1;;5159;1
MED_0016_C01_409_u6;60176;SO1RNC2;511;33.76138889;10.95238889;outdoor;3;6017;;320;;;3G;55601;10176;;;;605;1;;243;1
MED_0016_C01_409_u4;60174;SO1RNC2;511;33.76138889;10.95238889;outdoor;1;6017;;60;;;3G;55601;10174;;;;605;1;;1541;1
MED_0083_C01_310_u6;60846;SO1RNC2;511;33.44415833;10.381825;outdoor;3;6084;;320;;;3G;55602;10846;;;;605;1;;4356;1
MED_0037_C03_409_u3;60383;SO1RNC2;511;33.51030556;11.08319444;outdoor;3;6038;;290;;;3G;55603;10383;;;;605;1;;756;1
MED_0067_C04_110_u5;60685;SO1RNC2;511;33.35019444;10.48438889;outdoor;2;6068;;230;;;3G;55602;10685;;;;605;1;;213;1
MED_0004_C04_409_u6;60056;SO1RNC2;511;33.87233056;10.85951944;outdoor;3;6005;;340;;;3G;55601;10056;;;;605;1;;374;1
MED_0062_C03_110_u6;60636;SO1RNC2;511;33.34302778;10.50655556;outdoor;3;6063;;250;;;3G;55602;10636;;;;605;1;;1486;1
MAH_0090_C01_420_u6;40916;SO1RNC2;511;35.373639;10.431944;outdoor;3;4091;;320;;;3G;55503;55916;;;;605;1;;7989;1
MED_0026_C06_409_u5;60275;SO1RNC2;511;33.54591667;11.10169444;outdoor;2;6027;;150;;;3G;55603;10275;;;;605;1;;1395;1
MED_0059_C02_110_u4;60604;SO1RNC2;511;33.13686111;11.21722222;outdoor;1;6060;;50;;;3G;55602;10604;;;;605;1;;658;1
MED_0040_C03_420_q1;62261;SO1RNC2;511;33.50715;10.4801;outdoor;4;6041;;100;;;3G;55602;12261;;;;605;1;;8857;1
MED_0060_C03_110_u5;60615;SO1RNC2;511;33.86160833;10.97378056;outdoor;2;6061;;210;;;3G;55601;10615;;;;605;1;;454;1
MED_0044_C02_409_u6;60456;SO1RNC2;511;33.87615;10.84218056;outdoor;3;6045;;290;;;3G;55601;10456;;;;605;1;;1246;1
MED_0015_C04_409_u4;60164;SO1RNC2;511;33.758482;11.013539;outdoor;1;6016;;60;;;3G;55601;10164;;;;605;1;;2565;1
MED_0017_C02_409_u4;60184;SO1RNC2;511;33.80257778;10.78614444;outdoor;1;6018;;20;;;3G;55601;10184;;;;605;1;;3750;1
MED_0040_C03_409_u3;60413;SO1RNC2;511;33.50715;10.4801;outdoor;3;6041;;280;;;3G;55602;10413;;;;605;1;;9106;1
MED_0084_C06_310_u5;60855;SO1RNC2;511;33.252543;10.198689;outdoor;2;6085;;120;;;3G;55602;10855;;;;605;1;;2212;1
MED_0027_C03_409_u4;60284;SO1RNC2;511;33.50919444;11.06008333;outdoor;1;6028;;100;;;3G;55603;10284;;;;605;1;;1432;1
MED_0014_C04_409_u4;60154;SO1RNC2;511;33.84108333;10.99238611;outdoor;1;6015;;110;;;3G;55601;10154;;;;605;1;;707;1
MED_0036_C01_409_u5;60375;SO1RNC2;511;33.52458333;11.08555556;outdoor;2;6037;;180;;;3G;55603;10375;;;;605;1;;6935;1
