CellName;Cell_ID;Longitude_Sector;Latitude_Sector;CoverageType;SiteID;Azimuth;HorizBeamwidth;VertBeamwidth;Technology;LAC;eNodeBID;mcc;mnc;Downtilt;Electrical_DownTilt;BSC_ID;RF_Solution;expected_cell_range;Antenna_id
MAH_0029_C01_110_f3;3;11.03613;35.4279;outdoor;4030;270;;;4G;55501;4030;605;1;;;;macro;3084;1
MAH_0030_C06_110_l1;7;11.042259;35.46562;outdoor;4031;30;;;4G;55502;4031;605;1;;;;macro;1723;1
MAH_0030_C06_110_l2;8;11.042259;35.46562;outdoor;4031;190;;;4G;55502;4031;605;1;;;;macro;1600;1
MAH_0030_C06_110_l3;9;11.042259;35.46562;outdoor;4031;280;;;4G;55502;4031;605;1;;;;macro;2082;1
MAH_0031_C10_110_l1;7;10.992271;35.348459;outdoor;4032;10;;;4G;55501;4032;605;1;;;;macro;2235;1
MAH_0031_C10_110_l2;8;10.992271;35.348459;outdoor;4032;105;;;4G;55501;4032;605;1;;;;macro;4083;1
MAH_0031_C10_110_j3;106;10.992271;35.348459;outdoor;4032;175;;;4G;55501;4032;605;1;;;;macro;4995;1
MAH_0034_C03_110_l1;7;10.31102778;35.49533333;outdoor;4035;130;;;4G;44102;4035;605;1;;;;macro;2580;1
MAH_0034_C03_110_l2;8;10.31102778;35.49533333;outdoor;4035;220;;;4G;44102;4035;605;1;;;;macro;7063;1
MAH_0034_C03_110_l3;9;10.31102778;35.49533333;outdoor;4035;300;;;4G;44102;4035;605;1;;;;macro;6056;1
MAH_0037_C10_314_l1;7;10.54708537;35.34482419;outdoor;4038;40;;;4G;55501;4038;605;1;;;;macro;1989;1
MAH_0041_C02_310_l1;7;10.72886111;35.45483333;outdoor;4042;60;;;4G;55501;4042;605;1;;;;macro;486;1
MAH_0041_C02_310_l2;8;10.72886111;35.45483333;outdoor;4042;180;;;4G;55501;4042;605;1;;;;macro;1130;1
MAH_0041_C02_310_l3;9;10.72886111;35.45483333;outdoor;4042;280;;;4G;55501;4042;605;1;;;;macro;2110;1
MAH_0050_C03_413_l1;7;11.038015;35.403037;outdoor;4051;25;;;4G;55501;4051;605;1;;;;macro;597;1
MAH_0050_C03_413_l2;8;11.038015;35.403037;outdoor;4051;135;;;4G;55501;4051;605;1;;;;macro;648;1
MAH_0050_C03_413_l3;9;11.038015;35.403037;outdoor;4051;280;;;4G;55501;4051;605;1;;;;macro;394;1
MAH_0052_C01_214_f1;1;11.029278;35.546056;outdoor;4053;180;;;4G;55502;4053;605;1;;;;macro;2084;1
MAH_0052_C01_214_f2;2;11.029278;35.546056;outdoor;4053;240;;;4G;55502;4053;605;1;;;;macro;926;1
MAH_0052_C01_214_f3;3;11.029278;35.546056;outdoor;4053;340;;;4G;55502;4053;605;1;;;;macro;2932;1
MAH_0054_C04_214_h1;4;11.040222;35.443444;outdoor;4055;10;;;4G;55501;4055;605;1;;;;macro;2005;1
MAH_0054_C04_214_h2;5;11.040222;35.443444;outdoor;4055;180;;;4G;55501;4055;605;1;;;;macro;986;1
MAH_0054_C04_214_h3;6;11.040222;35.443444;outdoor;4055;260;;;4G;55501;4055;605;1;;;;macro;2345;1
MAH_0081_C01_318_f1;1;11.044167;35.470556;outdoor;4001;35;;;4G;55502;4001;605;1;;;;macro;1388;1
MAH_0081_C01_318_f2;2;11.044167;35.470556;outdoor;4001;140;;;4G;55502;4001;605;1;;;;macro;971;1
MAH_0081_C01_318_f3;3;11.044167;35.470556;outdoor;4001;235;;;4G;55502;4001;605;1;;;;macro;4597;1
MAN_0022_C01_110_l1;7;10.0105583;36.76235;outdoor;1273;30;;;4G;10015;1273;605;1;;;;macro;648;1
MAN_0022_C01_110_l3;9;10.0105583;36.76235;outdoor;1273;270;;;4G;10015;1273;605;1;;;;macro;1194;1
MED_0001_C03_409_j1;104;10.85794444;33.86061111;outdoor;6002;50;;;4G;55601;6002;605;1;;;;macro;1711;1
MED_0001_C03_409_j2;105;10.85794444;33.86061111;outdoor;6002;150;;;4G;55601;6002;605;1;;;;macro;2859;1
MED_0001_C03_409_j3;106;10.85794444;33.86061111;outdoor;6002;270;;;4G;55601;6002;605;1;;;;macro;3260;1
MED_0002_C01_409_l1;7;10.85144444;33.87772222;outdoor;6003;60;;;4G;55601;6003;605;1;;;;macro;348;1
MED_0002_C01_409_l2;8;10.85144444;33.87772222;outdoor;6003;180;;;4G;55601;6003;605;1;;;;macro;428;1
MED_0002_C01_409_l3;9;10.85144444;33.87772222;outdoor;6003;300;;;4G;55601;6003;605;1;;;;macro;998;1
MED_0003_C01_409_l1;7;10.87586111;33.87444444;outdoor;6004;60;;;4G;55601;6004;605;1;;;;macro;905;1
MED_0003_C01_409_l2;8;10.87586111;33.87444444;outdoor;6004;180;;;4G;55601;6004;605;1;;;;macro;1270;1
MED_0003_C01_409_l3;9;10.87586111;33.87444444;outdoor;6004;290;;;4G;55601;6004;605;1;;;;macro;486;1
